er,var
har,havde
bliver,blev
vil,ville
får,fik
kommer,kom
går,gik
gør,gjorde
kan,kunne
skal,skulle
siger,sagde
ser,så
må,måtte
tager,tog
giver,gav
står,stod
holder,holde
sætter,satte
viser,viste
bruger,brugte
ved,vidste
tror,troede
mener,mente
sker,sketw
fortæller,fortalte
hører,hørte
laver,lavede
lægger,lagde
skriver,skrev
sidder,sad 
spiller,spillede
synes,syntes
følger,fulgte
begynder,begyndte
kører,kørte
stiller,stilte
tænker,tænkte
kalder,kaldte
ønsker,ønskede
slår,slog 
lever,levede
fører,førte
bør,burde
spørger,spurgte
arbejder,arbejdede
skaber,skabte
sender,sendte
falder,faldt
kender,kendte
vælger,valgte
føler sig,følte sig
betyder,betød
trækker,trak
samler,samlede
venter,ventede
forstår,forstod
gælder,gjaldt
betaler,betalte
når,nåede
prøver,prøvede
køber,købte
bor,boede
,
taler,talte
læser,læste
svarer,svarede
vender,vendte
vinder,vandt
sælger,solgte
hjælper,hjalp
møder,mødte
forsøger,forsøgte
lærer,lærte
hedder,hed
finder,fandt
lyder,lød
passer,passede
klarer,klarede
koster,kostede
starter,startede
søger,søgte
bygger,byggede
tæller,talte
bryder,brød
lukker,lukkede
afleverer,afleverede
beskriver,beskrev
bestiller,bestilte
blæser,blæste
besøger,besøgte
cykler,cyklede
danser,dansede
drejer,drejede
drikker,drak
elsker,elskede
flytter,flyttede
flyver,fløj
fryser,frøs
fortsætter,fortsatte
glemmer,glemte
gentager,gentog
gider,gad
glæder sig,glædede sig
husker,huskede
hilser,hilste
henter,hentede
inviterer,inviterede
kigger,kiggede
lejer,lejede
leger,legede
ligger,lå 
løber,løb
låner,lånte
låser,låste
oplever,oplevede
oversætter,oversatte
ankommer,ankom
aftaler,aftalte
beder om,bad om
beslutter,besluttede
bestemmer,bestemte
diskuterer,diskuterede
drømmer,drømte
ejer,ejede
forklarer,forklarede
griner,grinede
græder,græd
går i stykker,gik i stykker
hoster,hoste
håber,håbede
kysser,kyssede
kan lide,kunne lide
leder efter,ledte efter
ligner,lignede
mangler,maglede
misforstår,misforstod
mister,mistede
nyder,nød
plejer,plejede
parkerer,parkerede
regner,regnede
rejser,rejste
reparerer,reparerede
rækker,rakte
ringer,ringede
ryger,røg
rydder op,ryddede op
råber,råbte
underviser,underviste
udtaler,udtalte
veksler,vekslede
vasker,vaskede
vågner,vågnede
er nødt til,var nødt til
varer,varede
sejler,sejlede
skinner,skinnede
slapper af,slappede af
smager,smagte
stopper,stoppede
spiser,spiste
sover,sov
studerer,studerede
stormer,stormede
tjener,tjente
